94J8A,2IDAHN
JK59A,2AMEIN
Q5QQQ,6LELLL
T99T2,3KIIKB
595JQ,4EIEAL
98299,4IHBII
T596T,2KEIFK
JQ999,6ALIII
J3K39,4ACMCI
K93T5,1MICKE
2999T,4BIIIK
KQ4K4,3MLDMD
TT6TT,6KKFKK
QAQJQ,6LNLAL
K2444,4MBDDD
T87J4,2KHGAD
72272,5GBBGB
555QJ,6EEELA
44384,4DDCHD
67768,3FGGFH
555A9,4EEENI
Q9A52,1LINEB
6JTTT,6FAKKK
66J7Q,4FFAGL
6J966,6FAIFF
74335,2GDCCE
Q7QK7,3LGLMG
T63K8,1KFCMH
88Q38,4HHLCH
TKKKK,6KMMMM
8T295,1HKBIE
77A77,6GGNGG
3ATTA,3CNKKN
6JJ66,5FAAFF
82367,1HBCFG
J86TQ,2AHFKL
AJAAA,7NANNN
JTTTT,7AKKKK
555K5,6EEEME
4Q688,2DLFHH
84K8Q,2HDMHL
TQ478,1KLDGH
A2229,4NBBBI
69JA4,2FIAND
T5555,6KEEEE
6877T,2FHGGK
4333J,6DCCCA
74Q23,1GDLBC
A5T5J,4NEKEA
TT884,3KKHHD
98J32,2IHACB
K7JK7,5MGAMG
55466,3EEDFF
J8A78,4AHNGH
4A586,1DNEHF
326T9,1CBFKI
J7883,4AGHHC
J9TJ2,4AIKAB
49999,6DIIII
2KK9J,4BMMIA
T7A5K,1KGNEM
K8A23,1MHNBC
4TA36,1DKNCF
33T3T,5CCKCK
8QA86,2HLNHF
43QQQ,4DCLLL
72J99,4GBAII
JAATT,5ANNKK
KTTTT,6MKKKK
92JT9,4IBAKI
25552,5BEEEB
23A58,1BCNEH
TJ4K6,2KADMF
T55J8,4KEEAH
Q75J5,4LGEAE
47387,2DGCHG
TTK33,3KKMCC
K5786,1MEGHF
Q88AJ,4LHHNA
T6725,1KFGBE
76776,5GFGGF
KQKK5,4MLMME
9T699,4IKFII
56AJA,4EFNAN
KTKK9,4MKMMI
JQQQJ,5ALLLA
7Q8J7,4GLHAG
2A42A,3BNDBN
Q2K74,1LBMGD
TATAA,5KNKNN
227K7,3BBGMG
K5K7Q,2MEMGL
4844A,4DHDDN
44AQA,3DDNLN
AA888,5NNHHH
872JK,2HGBAM
32329,3CBCBI
5KA54,2EMNED
28888,6BHHHH
K9K88,3MIMHH
A4AAA,6NDNNN
9JJ49,6IAADI
2685Q,1BFHEL
KT2T2,3MKBKB
9TK8T,2IKMHK
625J8,2FBEAH
AQQQ9,4NLLLI
56A6A,3EFNFN
A4AJ7,4NDNAG
9J68A,2IAFHN
5T899,2EKHII
T5836,1KEHCF
88443,3HHDDC
K5K5K,5MEMEM
66A65,4FFNFE
3A3J7,4CNCAG
66K68,4FFMFH
KQAKA,3MLNMN
864QQ,2HFDLL
Q97QQ,4LIGLL
74T63,1GDKFC
6T555,4FKEEE
4444A,6DDDDN
8J558,5HAEEH
5656J,5EFEFA
89484,3HIDHD
9A7K3,1INGMC
3Q443,3CLDDC
ATAAA,6NKNNN
7T934,1GKICD
K9582,1MIEHB
66K26,4FFMBF
9A9AA,5ININN
J8KQ2,2AHMLB
AA2AA,6NNBNN
78777,6GHGGG
AAQ9A,4NNLIN
AQJ93,2NLAIC
KKAKK,6MMNMM
333TJ,6CCCKA
Q96J6,4LIFAF
66767,5FFGFG
88757,3HHGEG
584Q6,1EHDLF
TA29T,2KNBIK
K33K9,3MCCMI
T5A5A,3KENEN
333Q3,6CCCLC
6T7KA,1FKGMN
T6834,1KFHCD
2TTTJ,6BKKKA
6AA6A,5FNNFN
Q4A3A,2LDNCN
QQ3JJ,6LLCAA
AT4TT,4NKDKK
49628,1DIFBH
388A4,2CHHND
TJ75T,4KAGEK
JQ4Q2,4ALDLB
8T8JQ,4HKHAL
TJTT8,6KAKKH
8T4K9,1HKDMI
A9JTA,4NIAKN
36646,4CFFDF
5KKK2,4EMMMB
QA965,1LNIFE
J34K4,4ACDMD
82288,5HBBHH
829Q5,1HBILE
A699J,4NFIIA
6642J,4FFDBA
K9KK6,4MIMMF
5JA5A,5EANEN
K6TJT,4MFKAK
7A667,3GNFFG
KQATT,2MLNKK
88884,6HHHHD
K495T,1MDIEK
6573A,1FEGCN
KK354,2MMCED
JTTT5,6AKKKE
T5398,1KECIH
AAJ9A,6NNAIN
JQ935,2ALICE
J999J,5AIIIA
T6T5T,4KFKEK
5TAAA,4EKNNN
TJT22,5KAKBB
AJQ57,2NALEG
99T9J,6IIKIA
KKKKJ,7MMMMA
9K99K,5IMIIM
QQ777,5LLGGG
337J2,4CCGAB
9T269,2IKBFI
22Q8J,4BBLHA
98659,2IHFEI
32TT2,3CBKKB
2273Q,2BBGCL
39399,5CICII
9KKQ3,2IMMLC
64T4T,3FDKDK
777T8,4GGGKH
22AJ2,6BBNAB
69966,5FIIFF
7K533,2GMECC
2TQK9,1BKLMI
T225T,3KBBEK
2KK8J,4BMMHA
QJQ6Q,6LALFL
5TTT7,4EKKKG
799K5,2GIIME
KKK2K,6MMMBM
553J3,5EECAC
QAQAQ,5LNLNL
777JT,6GGGAK
72492,2GBDIB
7777T,6GGGGK
3KA94,1CMNID
3J3J3,5CACAC
7JJ4Q,4GAADL
36463,3CFDFC
7A42K,1GNDBM
KTAJA,4MKNAN
45443,4DEDDC
95A5J,4IENEA
58833,3EHHCC
66Q23,2FFLBC
466KK,3DFFMM
2TT2T,5BKKBK
426KQ,1DBFML
72J49,2GBADI
QJKQK,5LAMLM
J5J5K,6AEAEM
5522Q,3EEBBL
QTQ9T,3LKLIK
T2222,6KBBBB
3242J,4CBDBA
66766,6FFGFF
984J8,4IHDAH
986QK,1IHFLM
242TT,3BDBKK
K46KK,4MDFMM
3TA5J,2CKNEA
QA92K,1LNIBM
QQQ59,4LLLEI
QJ666,6LAFFF
JQ2Q8,4ALBLH
94J49,5IDADI
78888,6GHHHH
T64QT,2KFDLK
QQQ25,4LLLBE
855AJ,4HEENA
88J28,6HHABH
78Q46,1GHLDF
29999,6BIIII
9K96K,3IMIFM
2KAKK,4BMNMM
QAQAJ,5LNLNA
AKKKA,5NMMMN
22KJ2,6BBMAB
J89Q6,2AHILF
T66JT,5KFFAK
4J4Q9,4DADLI
6Q54Q,2FLEDL
88777,5HHGGG
J825A,2AHBEN
K4K44,5MDMDD
QQQTQ,6LLLKL
4J749,4DAGDI
5Q868,2ELHFH
99437,2IIDCG
J9829,4AIHBI
J2222,7ABBBB
T5372,1KECGB
447TT,3DDGKK
26292,4BFBIB
86866,5HFHFF
Q6T32,1LFKCB
KKKA7,4MMMNG
774K7,4GGDMG
2KJ2K,5BMABM
8T34K,1HKCDM
KTK9T,3MKMIK
36333,6CFCCC
55Q55,6EELEE
8K37A,1HMCGN
8945J,2HIDEA
AA75K,2NNGEM
TTTT3,6KKKKC
Q2Q4Q,4LBLDL
J3936,4ACICF
55877,3EEHGG
4424A,4DDBDN
97799,5IGGII
43422,3DCDBB
33443,5CCDDC
AAQ3K,2NNLCM
69699,5FIFII
T8942,1KHIDB
JT993,4AKIIC
T44T4,5KDDKD
9863K,1IHFCM
A9236,1NIBCF
2K62K,3BMFBM
A7TKA,2NGKMN
32323,5CBCBC
T2T22,5KBKBB
2QQ2Q,5BLLBL
QT3QJ,4LKCLA
6Q4K5,1FLDME
3JA93,4CANIC
KJ777,6MAGGG
A7JTQ,2NGAKL
AA8Q7,2NNHLG
2QQ6A,2BLLFN
6JA9A,4FANIN
Q2369,1LBCFI
99998,6IIIIH
5788K,2EGHHM
AQQQQ,6NLLLL
K33K3,5MCCMC
K83A9,1MHCNI
K9J99,6MIAII
25J22,6BEABB
53AJ7,2ECNAG
99QQQ,5IILLL
63969,3FCIFI
23455,2BCDEE
2JAA3,4BANNC
77TTT,5GGKKK
6975A,1FIGEN
44K7Q,2DDMGL
J3Q3K,4ACLCM
AA4AJ,6NNDNA
5A3A6,2ENCNF
Q7Q7Q,5LGLGL
9TQ44,2IKLDD
878A8,4HGHNH
T8TTT,6KHKKK
7TKT7,3GKMKG
KTTJ5,4MKKAE
2KQQ3,2BMLLC
2T45J,2BKDEA
25AA5,3BENNE
6K76J,4FMGFA
2J53T,2BAECK
899J9,6HIIAI
48448,5DHDDH
JQ272,4ALBGB
T9999,6KIIII
J2282,6ABBHB
66588,3FFEHH
3T273,2CKBGC
T78T3,2KGHKC
TA2J6,2KNBAF
J4J77,6ADAGG
77762,4GGGFB
6TKT4,2FKMKD
48478,3DHDGH
9K49K,3IMDIM
4T844,4DKHDD
5524J,4EEBDA
4KJ2K,4DMABM
2J22J,5BABBA
Q5JAQ,4LEANL
T3338,4KCCCH
42JT4,4DBAKD
77333,5GGCCC
8JTT6,4HAKKF
48444,6DHDDD
TT888,5KKHHH
48774,3DHGGD
25732,2BEGCB
AAA96,4NNNIF
55J55,7EEAEE
444Q4,6DDDLD
77J37,6GGACG
765T8,1GFEKH
TKKJT,5KMMAK
45842,2DEHDB
9T3KJ,2IKCMA
458QA,1DEHLN
JQQQQ,7ALLLL
5T492,1EKDIB
25QJ2,4BELAB
Q28TA,1LBHKN
6T34T,2FKCDK
A4AA9,4NDNNI
74444,6GDDDD
K52K2,3MEBMB
6K663,4FMFFC
996J6,5IIFAF
222QQ,5BBBLL
73JJT,4GCAAK
4K466,3DMDFF
59Q99,4EILII
K43JK,4MDCAM
2922K,4BIBBM
AAA3A,6NNNCN
T5TTT,6KEKKK
Q7797,4LGGIG
35767,2CEGFG
89998,5HIIIH
TAJ78,2KNAGH
5552T,4EEEBK
4J848,5DAHDH
22932,4BBICB
66J44,5FFADD
6T66K,4FKFFM
965J6,4IFEAF
45TK5,2DEKME
4AJT2,2DNAKB
2232J,6BBCBA
9KTA3,1IMKNC
TT44T,5KKDDK
2975A,1BIGEN
6683J,4FFHCA
6TJ54,2FKAED
TT3QT,4KKCLK
3TT3J,5CKKCA
9585J,4IEHEA
8A5T8,2HNEKH
Q8888,6LHHHH
Q84JK,2LHDAM
8K882,4HMHHB
454T3,2DEDKC
46886,3DFHHF
63633,5FCFCC
Q2KQK,3LBMLM
662AA,3FFBNN
TQTJ8,4KLKAH
39699,4CIFII
TKT8K,3KMKHM
8JKTT,4HAMKK
99Q9Q,5IILIL
K52J2,4MEBAB
QQ223,3LLBBC
833QT,2HCCLK
74778,4GDGGH
3J33A,6CACCN
JQAAA,6ALNNN
4975T,1DIGEK
AA8AA,6NNHNN
88588,6HHEHH
KKKJ5,6MMMAE
77757,6GGGEG
6J666,7FAFFF
88Q8Q,5HHLHL
KT4T3,2MKDKC
7A757,4GNGEG
852A5,2HEBNE
92479,2IBDGI
45J55,6DEAEE
777J7,7GGGAG
622TT,3FBBKK
A55J4,4NEEAD
J94T7,2AIDKG
TK239,1KMBCI
T2359,1KBCEI
3T67K,1CKFGM
9595Q,3IEIEL
362J2,4CFBAB
J33K5,4ACCME
999TQ,4IIIKL
6J555,6FAEEE
35555,6CEEEE
7J374,4GACGD
77776,6GGGGF
46226,3DFBBF
A5A55,5NENEE
6466K,4FDFFM
33433,6CCDCC
4QQJQ,6DLLAL
K857T,1MHEGK
46844,4DFHDD
55K4J,4EEMDA
9TTTT,6IKKKK
K5999,4MEIII
3333J,7CCCCA
9TT9T,5IKKIK
TKT88,3KMKHH
7AQJK,2GNLAM
7A294,1GNBID
9JQ4J,4IALDA
K7K7K,5MGMGM
55338,3EECCH
55659,4EEFEI
AA22Q,3NNBBL
KKK88,5MMMHH
K7K4A,2MGMDN
9T449,3IKDDI
6AA55,3FNNEE
66556,5FFEEF
Q4K36,1LDMCF
78Q77,4GHLGG
8J778,5HAGGH
4AJQT,2DNALK
9KJQQ,4IMALL
422JK,4DBBAM
62A9J,2FBNIA
25A25,3BENBE
K8888,6MHHHH
KTTKK,5MKKMM
76KQT,1GFMLK
5A555,6ENEEE
97933,3IGICC
4K4KT,3DMDMK
QQ4J4,5LLDAD
TATA6,3KNKNF
KAJ2A,4MNABN
8333J,6HCCCA
47666,4DGFFF
Q5QA5,3LELNE
8Q64T,1HLFDK
QA23Q,2LNBCL
T6T7T,4KFKGK
648T7,1FDHKG
6T33T,3FKCCK
25528,3BEEBH
JAAJA,5ANNAN
45455,5DEDEE
AA8J4,4NNHAD
A6QT2,1NFLKB
2T392,2BKCIB
32Q3Q,3CBLCL
KA8KT,2MNHMK
59J28,2EIABH
883A2,2HHCNB
J555J,5AEEEA
62222,6FBBBB
Q543T,1LEDCK
338TJ,4CCHKA
T58J6,2KEHAF
5QAJ8,2ELNAH
T4K6Q,1KDMFL
K3333,6MCCCC
24443,4BDDDC
29629,3BIFBI
J88J7,6AHHAG
